Symbol,link,MARKETSMOJO,ETNOW
INFY,https://kite.zerodha.com/chart/web/ciq/NSE/INFY/408065,https://www.marketsmojo.com/Stocks?StockId=399834&Exchange=0,https://economictimes.indiatimes.com/infosys-ltd/stocks/companyid-10960.cms
IOC,https://kite.zerodha.com/chart/web/ciq/NSE/IOC/415745,https://www.marketsmojo.com/Stocks?StockId=901145&Exchange=0,https://economictimes.indiatimes.com/indian-oil-corporation-ltd/stocks/companyid-11924.cms
ITC,https://kite.zerodha.com/chart/web/ciq/NSE/ITC/424961,https://www.marketsmojo.com/Stocks?StockId=397071&Exchange=0,https://economictimes.indiatimes.com/itc-ltd/stocks/companyid-13554.cms
JINDALSTEL,https://kite.zerodha.com/chart/web/ciq/NSE/JINDALSTEL/1723649,https://www.marketsmojo.com/Stocks?StockId=338854&Exchange=0,https://economictimes.indiatimes.com/jindal-steel-power-ltd/stocks/companyid-4355.cms
JSWSTEEL,https://kite.zerodha.com/chart/web/ciq/NSE/JSWSTEEL/3001089,https://www.marketsmojo.com/Stocks?StockId=891577&Exchange=0,https://economictimes.indiatimes.com/jsw-steel-ltd/stocks/companyid-8352.cms
JUBLFOOD,https://kite.zerodha.com/chart/web/ciq/NSE/JUBLFOOD/4632577,https://www.marketsmojo.com/Stocks?StockId=274240&Exchange=0,https://economictimes.indiatimes.com/jubilant-foodworks-ltd/stocks/companyid-16224.cms
JUSTDIAL,https://kite.zerodha.com/chart/web/ciq/NSE/JUSTDIAL/7670273,https://www.marketsmojo.com/Stocks?StockId=522321&Exchange=0,https://economictimes.indiatimes.com/just-dial-ltd/stocks/companyid-45529.cms
KOTAKBANK,https://kite.zerodha.com/chart/web/ciq/NSE/KOTAKBANK/492033,https://www.marketsmojo.com/Stocks?StockId=621403&Exchange=0,https://economictimes.indiatimes.com/kotak-mahindra-bank-ltd/stocks/companyid-12161.cms
L&TFH,https://kite.zerodha.com/chart/web/ciq/NSE/L&TFH/6386689,https://www.marketsmojo.com/Stocks?StockId=675291&Exchange=0,https://economictimes.indiatimes.com/lt-finance-holdings-ltd/stocks/companyid-30050.cms
LICHSGFIN,https://kite.zerodha.com/chart/web/ciq/NSE/LICHSGFIN/511233,https://www.marketsmojo.com/Stocks?StockId=141783&Exchange=0,https://economictimes.indiatimes.com/lic-housing-finance-ltd/stocks/companyid-10823.cms
LT,https://kite.zerodha.com/chart/web/ciq/NSE/LT/2939649,https://www.marketsmojo.com/Stocks?StockId=837957&Exchange=0,https://economictimes.indiatimes.com/larsen-toubro-ltd/stocks/companyid-13447.cms
LUPIN,https://kite.zerodha.com/chart/web/ciq/NSE/LUPIN/2672641,https://www.marketsmojo.com/Stocks?StockId=641789&Exchange=0,https://economictimes.indiatimes.com/lupin-ltd/stocks/companyid-10743.cms
M&M,https://kite.zerodha.com/chart/web/ciq/NSE/M&M/519937,https://www.marketsmojo.com/Stocks?StockId=845805&Exchange=0,https://economictimes.indiatimes.com/mahindra-mahindra-ltd/stocks/companyid-11898.cms
M&MFIN,https://kite.zerodha.com/chart/web/ciq/NSE/M&MFIN/3400961,https://www.marketsmojo.com/Stocks?StockId=605836&Exchange=0,https://economictimes.indiatimes.com/mahindra-mahindra-financial-services-ltd/stocks/companyid-3540.cms
MANAPPURAM,https://kite.zerodha.com/chart/web/ciq/NSE/MANAPPURAM/4879617,https://www.marketsmojo.com/Stocks?StockId=343801&Exchange=0,https://economictimes.indiatimes.com/manappuram-finance-ltd/stocks/companyid-7134.cms
MARICO,https://kite.zerodha.com/chart/web/ciq/NSE/MARICO/1041153,https://www.marketsmojo.com/Stocks?StockId=441024&Exchange=0,https://economictimes.indiatimes.com/marico-ltd/stocks/companyid-5886.cms
MARUTI,https://kite.zerodha.com/chart/web/ciq/NSE/MARUTI/2815745,https://www.marketsmojo.com/Stocks?StockId=984862&Exchange=0,https://economictimes.indiatimes.com/maruti-suzuki-india-ltd/stocks/companyid-11890.cms
MCDOWELL-N,https://kite.zerodha.com/chart/web/ciq/NSE/MCDOWELL-N/2674433,https://www.marketsmojo.com/Stocks?StockId=459218&Exchange=0,https://economictimes.indiatimes.com/united-spirits-ltd/stocks/companyid-1714.cms
MFSL,https://kite.zerodha.com/chart/web/ciq/NSE/MFSL/548353,https://www.marketsmojo.com/Stocks?StockId=743949&Exchange=0,https://economictimes.indiatimes.com/max-financial-services-ltd/stocks/companyid-13435.cms
MGL,https://kite.zerodha.com/chart/web/ciq/NSE/MGL/4488705,https://www.marketsmojo.com/Stocks?StockId=1000400&Exchange=0,https://economictimes.indiatimes.com/mahanagar-gas-ltd/stocks/companyid-4331.cms
MINDTREE,https://kite.zerodha.com/chart/web/ciq/NSE/MINDTREE/3675137,https://www.marketsmojo.com/Stocks?StockId=920157&Exchange=0,https://economictimes.indiatimes.com/mindtree-ltd/stocks/companyid-15673.cms
MOTHERSUMI,https://kite.zerodha.com/chart/web/ciq/NSE/MOTHERSUMI/1076225,https://www.marketsmojo.com/Stocks?StockId=655900&Exchange=0,https://economictimes.indiatimes.com/motherson-sumi-systems-ltd/stocks/companyid-10878.cms
MRF,https://kite.zerodha.com/chart/web/ciq/NSE/MRF/582913,https://www.marketsmojo.com/Stocks?StockId=569141&Exchange=0,https://economictimes.indiatimes.com/mrf-ltd/stocks/companyid-11381.cms
MUTHOOTFIN,https://kite.zerodha.com/chart/web/ciq/NSE/MUTHOOTFIN/6054401,https://www.marketsmojo.com/Stocks?StockId=751972&Exchange=0,https://economictimes.indiatimes.com/muthoot-finance-ltd/stocks/companyid-33218.cms
NATIONALUM,https://kite.zerodha.com/chart/web/ciq/NSE/NATIONALUM/1629185,https://www.marketsmojo.com/Stocks?StockId=359296&Exchange=0,https://economictimes.indiatimes.com/national-aluminium-company-ltd/stocks/companyid-11997.cms
NAUKRI,https://kite.zerodha.com/chart/web/ciq/NSE/NAUKRI/3520257,https://www.marketsmojo.com/Stocks?StockId=925707&Exchange=0,https://economictimes.indiatimes.com/info-edge-india-ltd/stocks/companyid-18352.cms
NCC,https://kite.zerodha.com/chart/web/ciq/NSE/NCC/593665,https://www.marketsmojo.com/Stocks?StockId=545305&Exchange=0,https://economictimes.indiatimes.com/ncc-ltd/stocks/companyid-11234.cms
NESTLEIND,https://kite.zerodha.com/chart/web/ciq/NSE/NESTLEIND/4598529,https://www.marketsmojo.com/Stocks?StockId=226036&Exchange=0,https://economictimes.indiatimes.com/nestle-india-ltd/stocks/companyid-13330.cms
NIITTECH,https://kite.zerodha.com/chart/web/ciq/NSE/NIITTECH/2955009,https://www.marketsmojo.com/Stocks?StockId=194167&Exchange=0,https://economictimes.indiatimes.com/niit-technologies-ltd/stocks/companyid-858.cms
NMDC,https://kite.zerodha.com/chart/web/ciq/NSE/NMDC/3924993,https://www.marketsmojo.com/Stocks?StockId=794998&Exchange=0,https://economictimes.indiatimes.com/nmdc-ltd/stocks/companyid-11633.cms
NTPC,https://kite.zerodha.com/chart/web/ciq/NSE/NTPC/2977281,https://www.marketsmojo.com/Stocks?StockId=166797&Exchange=0,https://economictimes.indiatimes.com/ntpc-ltd/stocks/companyid-12316.cms
OIL,https://kite.zerodha.com/chart/web/ciq/NSE/OIL/4464129,https://www.marketsmojo.com/Stocks?StockId=166782&Exchange=0,https://economictimes.indiatimes.com/oil-and-natural-gas-corporation-ltd/stocks/companyid-11599.cms
ONGC,https://kite.zerodha.com/chart/web/ciq/NSE/ONGC/633601,https://www.marketsmojo.com/Stocks?StockId=640830&Exchange=0,https://economictimes.indiatimes.com/oil-and-natural-gas-corporation-ltd/stocks/companyid-11599.cms
PAGEIND,https://kite.zerodha.com/chart/web/ciq/NSE/PAGEIND/3689729,https://www.marketsmojo.com/Stocks?StockId=968443&Exchange=0,https://economictimes.indiatimes.com/page-industries-ltd/stocks/companyid-762.cms
PEL,https://kite.zerodha.com/chart/web/ciq/NSE/PEL/617473,https://www.marketsmojo.com/Stocks?StockId=497388&Exchange=0,https://economictimes.indiatimes.com/piramal-enterprises-ltd/stocks/companyid-13332.cms
PETRONET,https://kite.zerodha.com/chart/web/ciq/NSE/PETRONET/2905857,https://www.marketsmojo.com/Stocks?StockId=336744&Exchange=0,https://economictimes.indiatimes.com/petronet-lng-ltd/stocks/companyid-4495.cms
PFC,https://kite.zerodha.com/chart/web/ciq/NSE/PFC/3660545,https://www.marketsmojo.com/Stocks?StockId=817865&Exchange=0,https://economictimes.indiatimes.com/power-finance-corporation-ltd/stocks/companyid-4519.cms
PIDILITIND,https://kite.zerodha.com/chart/web/ciq/NSE/PIDILITIND/681985,https://www.marketsmojo.com/Stocks?StockId=619599&Exchange=0,https://economictimes.indiatimes.com/pidilite-industries-ltd/stocks/companyid-10460.cms
PNB,https://kite.zerodha.com/chart/web/ciq/NSE/PNB/2730497,https://www.marketsmojo.com/Stocks?StockId=616556&Exchange=0,https://economictimes.indiatimes.com/punjab-national-bank/stocks/companyid-11585.cms
POWERGRID,https://kite.zerodha.com/chart/web/ciq/NSE/POWERGRID/3834113,https://www.marketsmojo.com/Stocks?StockId=417663&Exchange=0,https://economictimes.indiatimes.com/power-grid-corporation-of-india-ltd/stocks/companyid-4628.cms
PVR,https://kite.zerodha.com/chart/web/ciq/NSE/PVR/3365633,https://www.marketsmojo.com/Stocks?StockId=333539&Exchange=0,https://economictimes.indiatimes.com/pvr-ltd/stocks/companyid-16320.cms
RAMCOCEM,https://kite.zerodha.com/chart/web/ciq/NSE/RAMCOCEM/523009,https://www.marketsmojo.com/Stocks?StockId=345424&Exchange=0,https://economictimes.indiatimes.com/the-ramco-cements-ltd/stocks/companyid-11377.cms
RBLBANK,https://kite.zerodha.com/chart/web/ciq/NSE/RBLBANK/4708097,https://www.marketsmojo.com/Stocks?StockId=1002649&Exchange=0,https://economictimes.indiatimes.com/rbl-bank-ltd/stocks/companyid-7750.cms
RECLTD,https://kite.zerodha.com/chart/web/ciq/NSE/RECLTD/3930881,https://www.marketsmojo.com/Stocks?StockId=431628&Exchange=0,https://economictimes.indiatimes.com/rec-ltd/stocks/companyid-4616.cms
RELIANCE,https://kite.zerodha.com/chart/web/ciq/NSE/RELIANCE/738561,https://www.marketsmojo.com/Stocks?StockId=605152&Exchange=0,https://economictimes.indiatimes.com/reliance-industries-ltd/stocks/companyid-13215.cms
SAIL,https://kite.zerodha.com/chart/web/ciq/NSE/SAIL/758529,https://www.marketsmojo.com/Stocks?StockId=816180&Exchange=0,https://economictimes.indiatimes.com/steel-authority-of-india-sail-ltd/stocks/companyid-11974.cms
SBIN,https://kite.zerodha.com/chart/web/ciq/NSE/SBIN/779521,https://www.marketsmojo.com/Stocks?StockId=347516&Exchange=0,https://economictimes.indiatimes.com/state-bank-of-india/stocks/companyid-11984.cms
SHREECEM,https://kite.zerodha.com/chart/web/ciq/NSE/SHREECEM/794369,https://www.marketsmojo.com/Stocks?StockId=415346&Exchange=0,https://economictimes.indiatimes.com/shree-cements-ltd/stocks/companyid-13129.cms
SIEMENS,https://kite.zerodha.com/chart/web/ciq/NSE/SIEMENS/806401,https://www.marketsmojo.com/Stocks?StockId=172368&Exchange=0,https://economictimes.indiatimes.com/siemens-ltd/stocks/companyid-13102.cms
SRF,https://kite.zerodha.com/chart/web/ciq/NSE/SRF/837889,https://www.marketsmojo.com/Stocks?StockId=823938&Exchange=0,https://economictimes.indiatimes.com/srf-ltd/stocks/companyid-13155.cms
SRTRANSFIN,https://kite.zerodha.com/chart/web/ciq/NSE/SRTRANSFIN/1102337,https://www.marketsmojo.com/Stocks?StockId=397643&Exchange=0,https://economictimes.indiatimes.com/shriram-transport-finance-company-ltd/stocks/companyid-13106.cms
SUNPHARMA,https://kite.zerodha.com/chart/web/ciq/NSE/SUNPHARMA/857857,https://www.marketsmojo.com/Stocks?StockId=948699&Exchange=0,https://economictimes.indiatimes.com/sun-pharmaceutical-industries-ltd/stocks/companyid-9134.cms
SUNTV,https://kite.zerodha.com/chart/web/ciq/NSE/SUNTV/3431425,https://www.marketsmojo.com/Stocks?StockId=758477&Exchange=0,https://economictimes.indiatimes.com/sun-tv-network-ltd/stocks/companyid-17994.cms
TATACHEM,https://kite.zerodha.com/chart/web/ciq/NSE/TATACHEM/871681,https://www.marketsmojo.com/Stocks?StockId=345147&Exchange=0,https://economictimes.indiatimes.com/tata-chemicals-ltd/stocks/companyid-12913.cms
TATACONSUM,https://kite.zerodha.com/chart/web/ciq/NSE/TATACONSUM/878593,https://www.marketsmojo.com/Stocks?StockId=272806&Exchange=0,https://economictimes.indiatimes.com/tata-consumer-products-ltd/stocks/companyid-12929.cms
TATAMOTORS,https://kite.zerodha.com/chart/web/ciq/NSE/TATAMOTORS/884737,https://www.marketsmojo.com/Stocks?StockId=949886&Exchange=0,https://economictimes.indiatimes.com/tata-motors-ltd/stocks/companyid-12934.cms
TATAPOWER,https://kite.zerodha.com/chart/web/ciq/NSE/TATAPOWER/877057,https://www.marketsmojo.com/Stocks?StockId=790869&Exchange=0,https://economictimes.indiatimes.com/tata-power-company-ltd/stocks/companyid-12918.cms
TATASTEEL,https://kite.zerodha.com/chart/web/ciq/NSE/TATASTEEL/895745,https://www.marketsmojo.com/Stocks?StockId=594470&Exchange=0,https://economictimes.indiatimes.com/tata-steel-ltd/stocks/companyid-12902.cms
TCS,https://kite.zerodha.com/chart/web/ciq/NSE/TCS/2953217,https://www.marketsmojo.com/Stocks?StockId=513374&Exchange=0,https://economictimes.indiatimes.com/tata-consultancy-services-ltd/stocks/companyid-8345.cms
TECHM,https://kite.zerodha.com/chart/web/ciq/NSE/TECHM/3465729,https://www.marketsmojo.com/Stocks?StockId=779228&Exchange=0,https://economictimes.indiatimes.com/tech-mahindra-ltd/stocks/companyid-11221.cms
TITAN,https://kite.zerodha.com/chart/web/ciq/NSE/TITAN/897537,https://www.marketsmojo.com/Stocks?StockId=372338&Exchange=0,https://economictimes.indiatimes.com/titan-company-ltd/stocks/companyid-12903.cms
TORNTPHARM,https://kite.zerodha.com/chart/web/ciq/NSE/TORNTPHARM/900609,https://www.marketsmojo.com/Stocks?StockId=317368&Exchange=0,https://economictimes.indiatimes.com/torrent-pharmaceuticals-ltd/stocks/companyid-8492.cms
TORNTPOWER,https://kite.zerodha.com/chart/web/ciq/NSE/TORNTPOWER/3529217,https://www.marketsmojo.com/Stocks?StockId=257504&Exchange=0,https://economictimes.indiatimes.com/torrent-power-ltd/stocks/companyid-18767.cms
TVSMOTOR,https://kite.zerodha.com/chart/web/ciq/NSE/TVSMOTOR/2170625,https://www.marketsmojo.com/Stocks?StockId=730070&Exchange=0,https://economictimes.indiatimes.com/tvs-motor-company-ltd/stocks/companyid-12940.cms
UBL,https://kite.zerodha.com/chart/web/ciq/NSE/UBL/4278529,https://www.marketsmojo.com/Stocks?StockId=477933&Exchange=0,https://economictimes.indiatimes.com/united-breweries-ltd/stocks/companyid-1367.cms
UJJIVAN,https://kite.zerodha.com/chart/web/ciq/NSE/UJJIVAN/4369665,https://www.marketsmojo.com/Stocks?StockId=1000916&Exchange=0,https://economictimes.indiatimes.com/ujjivan-financial-services-ltd/stocks/companyid-32209.cms
ULTRACEMCO,https://kite.zerodha.com/chart/web/ciq/NSE/ULTRACEMCO/2952193,https://www.marketsmojo.com/Stocks?StockId=504759&Exchange=0,https://economictimes.indiatimes.com/ultratech-cement-ltd/stocks/companyid-3027.cms
UPL,https://kite.zerodha.com/chart/web/ciq/NSE/UPL/2889473,https://www.marketsmojo.com/Stocks?StockId=947027&Exchange=0,https://economictimes.indiatimes.com/upl-ltd/stocks/companyid-6114.cms
VEDL,https://kite.zerodha.com/chart/web/ciq/NSE/VEDL/784129,https://www.marketsmojo.com/Stocks?StockId=801588&Exchange=0,https://economictimes.indiatimes.com/vedanta-ltd/stocks/companyid-13111.cms
VOLTAS,https://kite.zerodha.com/chart/web/ciq/NSE/VOLTAS/951809,https://www.marketsmojo.com/Stocks?StockId=226565&Exchange=0,https://economictimes.indiatimes.com/voltas-ltd/stocks/companyid-12815.cms
WIPRO,https://kite.zerodha.com/chart/web/ciq/NSE/WIPRO/969473,https://www.marketsmojo.com/Stocks?StockId=531139&Exchange=0,https://economictimes.indiatimes.com/wipro-ltd/stocks/companyid-12799.cms
YESBANK,https://kite.zerodha.com/chart/web/ciq/NSE/YESBANK/3050241,https://www.marketsmojo.com/Stocks?StockId=873791&Exchange=0,https://economictimes.indiatimes.com/yes-bank-ltd/stocks/companyid-16552.cms
ZEEL,https://kite.zerodha.com/chart/web/ciq/NSE/ZEEL/975873,https://www.marketsmojo.com/Stocks?StockId=435991&Exchange=0,https://economictimes.indiatimes.com/zee-entertainment-enterprises-ltd/stocks/companyid-11769.cms